Reference Location:,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,54,58,62,62,70,78,0.594,0.144,0.162,0.027,0.073,0.1,0,0,0,0,0.000,0.000,3.2,8.2,13.2
First Week of September,1,55,58,61,62,70,78,0.5742,0.1392,0.1566,0.0351,0.0949,0.7,0,0,0.2,0,0.286,0.000,2.6,7.6,12.6
Second Week of September,2,55,59,63,62,71,80,0.5742,0.1392,0.1566,0.0351,0.0949,0.7,0,0,0.2,0,0.286,0.000,2.6,7.6,12.6
Third Week of September,3,55,59,63,61,71,81,0.5742,0.1392,0.1566,0.0351,0.0949,0.7,0,0,0.2,0,0.286,0.000,2.6,7.6,12.6
Fourth Week of September,4,55,59,63,61,71,81,0.5742,0.1392,0.1566,0.0351,0.0949,0.7,0,0,0.2,0,0.286,0.000,2.6,7.6,12.6
September/October Transition,5,55,59,63,61,71,81,0.5742,0.1392,0.1566,0.0351,0.0949,0.7,0,0,0.2,0,0.286,0.000,2.6,7.6,12.6
First Week of October,6,54,58,62,59,70,81,0.4752,0.1152,0.1296,0.0756,0.2044,2.6,0,0,0.9,0,0.346,0.000,2.3,7.3,12.3
Second Week of October,7,54,58,62,58,69,80,0.4752,0.1152,0.1296,0.0756,0.2044,2.6,0,0,0.9,0,0.346,0.000,2.3,7.3,12.3
Third Week of October,8,53,57,61,59,68,77,0.4752,0.1152,0.1296,0.0756,0.2044,2.6,0,0,0.9,0,0.346,0.000,2.3,7.3,12.3
October/November Transition,9,51,56,61,59,67,75,0.4752,0.1152,0.1296,0.0756,0.2044,2.6,0,0,0.9,0,0.346,0.000,2.3,7.3,12.3
First Week of November,10,50,55,60,58,65,72,0.3696,0.0896,0.1008,0.1188,0.3212,6.1,0,0,2.4,0,0.393,0.000,2.9,7.9,13.9
Second Week of November,11,49,54,59,56,63,70,0.3696,0.0896,0.1008,0.1188,0.3212,6.1,0,0,2.4,0,0.393,0.000,2.9,7.9,13.9
Third Week of November,12,47,53,59,56,62,68,0.3696,0.0896,0.1008,0.1188,0.3212,6.1,0,0,2.4,0,0.393,0.000,2.9,7.9,13.9
Fourth Week of November,13,45,52,59,54,60,66,0.3696,0.0896,0.1008,0.1188,0.3212,6.1,0,0,2.4,0,0.393,0.000,2.9,7.9,13.9
First Week of December,14,44,51,58,54,59,64,0.3234,0.0784,0.0882,0.1377,0.3723,8.5,0,0,3.6,0,0.424,0.000,3.6,8.6,14.6
Second Week of December,15,43,49,55,52,57,62,0.3234,0.0784,0.0882,0.1377,0.3723,8.5,0,0,3.6,0,0.424,0.000,3.6,8.6,14.6
Third Week of December,16,41,48,55,51,56,61,0.3234,0.0784,0.0882,0.1377,0.3723,8.5,0,0,3.6,0,0.424,0.000,3.6,8.6,14.6
Fourth Week of December,17,40,47,54,50,55,60,0.3234,0.0784,0.0882,0.1377,0.3723,8.5,0,0,3.6,0,0.424,0.000,3.6,8.6,14.6
December/January Transition,18,40,47,54,48,54,60,0.3102,0.0752,0.0846,0.1431,0.3869,8.2,0,0,3.6,0,0.439,0.000,3.3,8.3,14.3
First Week of January,19,39,47,55,50,55,60,0.3102,0.0752,0.0846,0.1431,0.3869,8.2,0,0,3.6,0,0.439,0.000,3.3,8.3,14.3
Second Week of January,20,40,47,54,49,55,61,0.3102,0.0752,0.0846,0.1431,0.3869,8.2,0,0,3.6,0,0.439,0.000,3.3,8.3,14.3
Third Week of January,21,41,47,53,50,56,62,0.3102,0.0752,0.0846,0.1431,0.3869,8.2,0,0,3.6,0,0.439,0.000,3.3,8.3,14.3
January/February Transition,22,41,48,55,51,57,63,0.3102,0.0752,0.0846,0.1431,0.3869,8.1,0,0,3.9,0,0.481,0.000,3.6,8.6,14.6
First Week of February,23,41,48,55,52,58,64,0.3102,0.0752,0.0846,0.1431,0.3869,8.1,0,0,3.9,0,0.481,0.000,3.6,8.6,14.6
Second Week of February,24,43,49,55,51,58,65,0.3102,0.0752,0.0846,0.1431,0.3869,8.1,0,0,3.9,0,0.481,0.000,3.6,8.6,14.6
Third Week of Februrary,25,44,50,56,52,59,66,0.3102,0.0752,0.0846,0.1431,0.3869,8.1,0,0,3.9,0,0.481,0.000,3.6,8.6,14.6