Reference Location:,"Miami, FL",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,76,79,82,85,88,91,0.231,0.056,0.063,0.1755,0.4745,18.5,0,0,5.1,0,0.276,0.000,3.4,8.4,13.4
First Week of September,1,76,79,82,83,87,91,0.2244,0.0544,0.0612,0.1782,0.4818,17.3,0,0,5.6,0,0.324,0.000,4.4,9.4,14.4
Second Week of September,2,76,79,82,84,87,90,0.2244,0.0544,0.0612,0.1782,0.4818,17.3,0,0,5.6,0,0.324,0.000,4.4,9.4,14.4
Third Week of September,3,75,78,81,82,86,90,0.2244,0.0544,0.0612,0.1782,0.4818,17.3,0,0,5.6,0,0.324,0.000,4.4,9.4,14.4
Fourth Week of September,4,75,78,81,82,86,90,0.2244,0.0544,0.0612,0.1782,0.4818,17.3,0,0,5.6,0,0.324,0.000,4.4,9.4,14.4
September/October Transition,5,74,78,82,83,86,89,0.2244,0.0544,0.0612,0.1782,0.4818,17.3,0,0,5.6,0,0.324,0.000,4.4,9.4,14.4
First Week of October,6,73,77,81,81,85,89,0.3366,0.0816,0.0918,0.1323,0.3577,11.1,0,0,4.1,0,0.369,0.000,6.5,11.5,16.5
Second Week of October,7,71,76,81,80,84,88,0.3366,0.0816,0.0918,0.1323,0.3577,11.1,0,0,4.1,0,0.369,0.000,6.5,11.5,16.5
Third Week of October,8,70,75,80,79,83,87,0.3366,0.0816,0.0918,0.1323,0.3577,11.1,0,0,4.1,0,0.369,0.000,6.5,11.5,16.5
October/November Transition,9,67,73,79,78,82,86,0.3366,0.0816,0.0918,0.1323,0.3577,11.1,0,0,4.1,0,0.369,0.000,6.5,11.5,16.5
First Week of November,10,65,72,79,77,81,85,0.4158,0.1008,0.1134,0.0999,0.2701,5.8,0,0,2.1,0,0.362,0.000,7.7,12.7,18.7
Second Week of November,11,63,71,79,76,80,84,0.4158,0.1008,0.1134,0.0999,0.2701,5.8,0,0,2.1,0,0.362,0.000,7.7,12.7,18.7
Third Week of November,12,62,70,78,74,79,84,0.4158,0.1008,0.1134,0.0999,0.2701,5.8,0,0,2.1,0,0.362,0.000,7.7,12.7,18.7
Fourth Week of November,13,60,69,78,75,79,83,0.4158,0.1008,0.1134,0.0999,0.2701,5.8,0,0,2.1,0,0.362,0.000,7.7,12.7,18.7
First Week of December,14,59,68,77,73,78,83,0.4356,0.1056,0.1188,0.0918,0.2482,4.9,0,0,1.3,0,0.265,0.000,7.2,12.2,18.2
Second Week of December,15,57,67,77,72,77,82,0.4356,0.1056,0.1188,0.0918,0.2482,4.9,0,0,1.3,0,0.265,0.000,7.2,12.2,18.2
Third Week of December,16,55,67,79,70,76,82,0.4356,0.1056,0.1188,0.0918,0.2482,4.9,0,0,1.3,0,0.265,0.000,7.2,12.2,18.2
Fourth Week of December,17,54,66,78,70,76,82,0.4356,0.1056,0.1188,0.0918,0.2482,4.9,0,0,1.3,0,0.265,0.000,7.2,12.2,18.2
December/January Transition,18,52,65,78,69,75,81,0.4422,0.1072,0.1206,0.0891,0.2409,4.8,0,0,1.5,0,0.313,0.000,7.3,12.3,18.3
First Week of January,19,52,64,76,69,75,81,0.4422,0.1072,0.1206,0.0891,0.2409,4.8,0,0,1.5,0,0.313,0.000,7.3,12.3,18.3
Second Week of January,20,51,63,75,67,74,81,0.4422,0.1072,0.1206,0.0891,0.2409,4.8,0,0,1.5,0,0.313,0.000,7.3,12.3,18.3
Third Week of January,21,52,63,74,67,74,81,0.4422,0.1072,0.1206,0.0891,0.2409,4.8,0,0,1.5,0,0.313,0.000,7.3,12.3,18.3
January/February Transition,22,52,63,74,67,74,81,0.462,0.112,0.126,0.081,0.219,4.7,0,0,1.6,0,0.340,0.000,7.4,12.4,18.4
First Week of February,23,52,64,76,69,75,81,0.462,0.112,0.126,0.081,0.219,4.7,0,0,1.6,0,0.340,0.000,7.4,12.4,18.4
Second Week of February,24,54,64,74,70,76,82,0.462,0.112,0.126,0.081,0.219,4.7,0,0,1.6,0,0.340,0.000,7.4,12.4,18.4
Third Week of Februrary,25,54,65,76,70,76,82,0.462,0.112,0.126,0.081,0.219,4.7,0,0,1.6,0,0.340,0.000,7.4,12.4,18.4