Reference Location:,"Savannah, GA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,70,74,78,82,87,92,0.3234,0.0784,0.0882,0.1377,0.3723,15.5,0,0,5.3,0,0.342,0.000,1.3,6.3,11.3
First Week of September,1,69,73,77,80,86,92,0.3696,0.0896,0.1008,0.1188,0.3212,10.5,0,0,4.3,0,0.410,0.000,2,7,12
Second Week of September,2,67,72,77,79,85,91,0.3696,0.0896,0.1008,0.1188,0.3212,10.5,0,0,4.3,0,0.410,0.000,2,7,12
Third Week of September,3,65,71,77,78,84,90,0.3696,0.0896,0.1008,0.1188,0.3212,10.5,0,0,4.3,0,0.410,0.000,2,7,12
Fourth Week of September,4,61,69,77,77,83,89,0.3696,0.0896,0.1008,0.1188,0.3212,10.5,0,0,4.3,0,0.410,0.000,2,7,12
September/October Transition,5,58,67,76,74,81,88,0.3696,0.0896,0.1008,0.1188,0.3212,10.5,0,0,4.3,0,0.410,0.000,2,7,12
First Week of October,6,55,65,75,72,79,86,0.4224,0.1024,0.1152,0.0972,0.2628,6.5,0,0,3.1,0,0.477,0.000,2.4,7.4,12.4
Second Week of October,7,51,62,73,69,77,85,0.4224,0.1024,0.1152,0.0972,0.2628,6.5,0,0,3.1,0,0.477,0.000,2.4,7.4,12.4
Third Week of October,8,49,60,71,69,76,83,0.4224,0.1024,0.1152,0.0972,0.2628,6.5,0,0,3.1,0,0.477,0.000,2.4,7.4,12.4
October/November Transition,9,46,58,70,66,74,82,0.4224,0.1024,0.1152,0.0972,0.2628,6.5,0,0,3.1,0,0.477,0.000,2.4,7.4,12.4
First Week of November,10,43,55,67,63,72,81,0.4026,0.0976,0.1098,0.1053,0.2847,5.6,0,0,2.2,0,0.393,0.000,2.5,7.5,13.5
Second Week of November,11,41,54,67,61,70,79,0.4026,0.0976,0.1098,0.1053,0.2847,5.6,0,0,2.2,0,0.393,0.000,2.5,7.5,13.5
Third Week of November,12,39,52,65,58,68,78,0.4026,0.0976,0.1098,0.1053,0.2847,5.6,0,0,2.2,0,0.393,0.000,2.5,7.5,13.5
Fourth Week of November,13,37,51,65,57,67,77,0.4026,0.0976,0.1098,0.1053,0.2847,5.6,0,0,2.2,0,0.393,0.000,2.5,7.5,13.5
First Week of December,14,35,50,65,54,65,76,0.363,0.088,0.099,0.1215,0.3285,6.9,0,0,2.6,0,0.377,0.000,2.6,7.6,13.6
Second Week of December,15,34,48,62,50,63,76,0.363,0.088,0.099,0.1215,0.3285,6.9,0,0,2.6,0,0.377,0.000,2.6,7.6,13.6
Third Week of December,16,33,47,61,49,62,75,0.363,0.088,0.099,0.1215,0.3285,6.9,0,0,2.6,0,0.377,0.000,2.6,7.6,13.6
Fourth Week of December,17,32,46,60,47,61,75,0.363,0.088,0.099,0.1215,0.3285,6.9,0,0,2.6,0,0.377,0.000,2.6,7.6,13.6
December/January Transition,18,31,45,59,46,60,74,0.3498,0.0848,0.0954,0.1269,0.3431,7.9,0,0,3.1,0,0.392,0.000,3,8,14
First Week of January,19,30,45,60,45,59,73,0.3498,0.0848,0.0954,0.1269,0.3431,7.9,0,0,3.1,0,0.392,0.000,3,8,14
Second Week of January,20,30,44,58,46,59,72,0.3498,0.0848,0.0954,0.1269,0.3431,7.9,0,0,3.1,0,0.392,0.000,3,8,14
Third Week of January,21,30,44,58,46,59,72,0.3498,0.0848,0.0954,0.1269,0.3431,7.9,0,0,3.1,0,0.392,0.000,3,8,14
January/February Transition,22,30,44,58,46,59,72,0.3498,0.0848,0.0954,0.1269,0.3431,7.7,0,0,3.4,0,0.442,0.000,3.1,8.1,14.1
First Week of February,23,31,44,57,46,59,72,0.3498,0.0848,0.0954,0.1269,0.3431,7.7,0,0,3.4,0,0.442,0.000,3.1,8.1,14.1
Second Week of February,24,32,46,60,49,61,73,0.3498,0.0848,0.0954,0.1269,0.3431,7.7,0,0,3.4,0,0.442,0.000,3.1,8.1,14.1
Third Week of Februrary,25,33,47,61,50,62,74,0.3498,0.0848,0.0954,0.1269,0.3431,7.7,0,0,3.4,0,0.442,0.000,3.1,8.1,14.1