Reference Location:,"Indianapolis, IN",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,57,65,73,74,82,90,0.4554,0.1104,0.1242,0.0837,0.2263,10.2,0,0,3,0,0.294,0.000,1.7,6.7,11.7
First Week of September,1,55,64,73,71,80,89,0.4488,0.1088,0.1224,0.0864,0.2336,7.9,0,0,2.9,0,0.367,0.000,2.8,7.8,12.8
Second Week of September,2,52,62,72,70,79,88,0.4488,0.1088,0.1224,0.0864,0.2336,7.9,0,0,2.9,0,0.367,0.000,2.8,7.8,12.8
Third Week of September,3,49,59,69,66,76,86,0.4488,0.1088,0.1224,0.0864,0.2336,7.9,0,0,2.9,0,0.367,0.000,2.8,7.8,12.8
Fourth Week of September,4,45,56,67,63,74,85,0.4488,0.1088,0.1224,0.0864,0.2336,7.9,0,0,2.9,0,0.367,0.000,2.8,7.8,12.8
September/October Transition,5,41,53,65,60,71,82,0.4488,0.1088,0.1224,0.0864,0.2336,7.9,0,0,2.9,0,0.367,0.000,2.8,7.8,12.8
First Week of October,6,39,51,63,56,68,80,0.4026,0.0976,0.1098,0.1053,0.2847,7.6,0.1,0,2.9,0,0.382,0.000,4.2,9.2,14.2
Second Week of October,7,37,49,61,52,65,78,0.4026,0.0976,0.1098,0.1053,0.2847,7.6,0.1,0,2.9,0,0.382,0.000,4.2,9.2,14.2
Third Week of October,8,34,47,60,49,62,75,0.4026,0.0976,0.1098,0.1053,0.2847,7.6,0.1,0,2.9,0,0.382,0.000,4.2,9.2,14.2
October/November Transition,9,33,45,57,46,59,72,0.4026,0.0976,0.1098,0.1053,0.2847,7.6,0.1,0,2.9,0,0.382,0.000,4.2,9.2,14.2
First Week of November,10,30,43,56,43,56,69,0.33,0.08,0.09,0.135,0.365,7.4,0.3,0.2,3,0.4,0.405,2.000,5.3,10.3,16.3
Second Week of November,11,28,41,54,39,53,67,0.33,0.08,0.09,0.135,0.365,7.4,0.3,0.2,3,0.4,0.405,2.000,5.3,10.3,16.3
Third Week of November,12,26,39,52,34,49,64,0.33,0.08,0.09,0.135,0.365,7.4,0.3,0.2,3,0.4,0.405,2.000,5.3,10.3,16.3
Fourth Week of November,13,23,37,51,31,46,61,0.33,0.08,0.09,0.135,0.365,7.4,0.3,0.2,3,0.4,0.405,2.000,5.3,10.3,16.3
First Week of December,14,21,35,49,28,43,58,0.2772,0.0672,0.0756,0.1566,0.4234,6.2,0.9,0.8,2.5,2.9,0.403,3.625,5.6,10.6,16.6
Second Week of December,15,17,32,47,25,40,55,0.2772,0.0672,0.0756,0.1566,0.4234,6.2,0.9,0.8,2.5,2.9,0.403,3.625,5.6,10.6,16.6
Third Week of December,16,14,30,46,21,37,53,0.2772,0.0672,0.0756,0.1566,0.4234,6.2,0.9,0.8,2.5,2.9,0.403,3.625,5.6,10.6,16.6
Fourth Week of December,17,12,29,46,21,36,51,0.2772,0.0672,0.0756,0.1566,0.4234,6.2,0.9,0.8,2.5,2.9,0.403,3.625,5.6,10.6,16.6
December/January Transition,18,10,28,46,20,35,50,0.2772,0.0672,0.0756,0.1566,0.4234,4.2,1,1.4,1.8,3.7,0.429,2.643,6.2,11.2,17.2
First Week of January,19,8,26,44,16,33,50,0.2772,0.0672,0.0756,0.1566,0.4234,4.2,1,1.4,1.8,3.7,0.429,2.643,6.2,11.2,17.2
Second Week of January,20,7,26,45,17,33,49,0.2772,0.0672,0.0756,0.1566,0.4234,4.2,1,1.4,1.8,3.7,0.429,2.643,6.2,11.2,17.2
Third Week of January,21,6,25,44,17,33,49,0.2772,0.0672,0.0756,0.1566,0.4234,4.2,1,1.4,1.8,3.7,0.429,2.643,6.2,11.2,17.2
January/February Transition,22,6,25,44,16,33,50,0.2772,0.0672,0.0756,0.1566,0.4234,4.2,0.9,1.2,1.7,3.7,0.405,3.083,6.1,11.1,17.1
First Week of February,23,6,25,44,18,34,50,0.2772,0.0672,0.0756,0.1566,0.4234,4.2,0.9,1.2,1.7,3.7,0.405,3.083,6.1,11.1,17.1
Second Week of February,24,10,26,42,19,36,53,0.2772,0.0672,0.0756,0.1566,0.4234,4.2,0.9,1.2,1.7,3.7,0.405,3.083,6.1,11.1,17.1
Third Week of Februrary,25,11,28,45,21,38,55,0.2772,0.0672,0.0756,0.1566,0.4234,4.2,0.9,1.2,1.7,3.7,0.405,3.083,6.1,11.1,17.1