Reference Location:,"Wichita, KS",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,61,69,77,77,88,99,0.4686,0.1136,0.1278,0.0783,0.2117,9.2,0,0,3.1,0,0.337,0.000,4.7,9.7,14.7
First Week of September,1,59,68,77,76,87,98,0.4752,0.1152,0.1296,0.0756,0.2044,7.3,0,0,2.6,0,0.356,0.000,5.9,10.9,15.9
Second Week of September,2,56,66,76,72,84,96,0.4752,0.1152,0.1296,0.0756,0.2044,7.3,0,0,2.6,0,0.356,0.000,5.9,10.9,15.9
Third Week of September,3,52,63,74,71,82,93,0.4752,0.1152,0.1296,0.0756,0.2044,7.3,0,0,2.6,0,0.356,0.000,5.9,10.9,15.9
Fourth Week of September,4,49,60,71,67,79,91,0.4752,0.1152,0.1296,0.0756,0.2044,7.3,0,0,2.6,0,0.356,0.000,5.9,10.9,15.9
September/October Transition,5,46,57,68,62,75,88,0.4752,0.1152,0.1296,0.0756,0.2044,7.3,0,0,2.6,0,0.356,0.000,5.9,10.9,15.9
First Week of October,6,43,54,65,60,73,86,0.4488,0.1088,0.1224,0.0864,0.2336,5.6,0,0,2.2,0.1,0.393,0.000,6.3,11.3,16.3
Second Week of October,7,41,52,63,56,70,84,0.4488,0.1088,0.1224,0.0864,0.2336,5.6,0,0,2.2,0.1,0.393,0.000,6.3,11.3,16.3
Third Week of October,8,38,50,62,53,67,81,0.4488,0.1088,0.1224,0.0864,0.2336,5.6,0,0,2.2,0.1,0.393,0.000,6.3,11.3,16.3
October/November Transition,9,35,47,59,50,64,78,0.4488,0.1088,0.1224,0.0864,0.2336,5.6,0,0,2.2,0.1,0.393,0.000,6.3,11.3,16.3
First Week of November,10,32,44,56,47,61,75,0.4026,0.0976,0.1098,0.1053,0.2847,3.4,0.2,0.2,1.4,0.5,0.412,2.500,6.3,11.3,17.3
Second Week of November,11,29,42,55,44,58,72,0.4026,0.0976,0.1098,0.1053,0.2847,3.4,0.2,0.2,1.4,0.5,0.412,2.500,6.3,11.3,17.3
Third Week of November,12,26,39,52,39,54,69,0.4026,0.0976,0.1098,0.1053,0.2847,3.4,0.2,0.2,1.4,0.5,0.412,2.500,6.3,11.3,17.3
Fourth Week of November,13,23,36,49,36,51,66,0.4026,0.0976,0.1098,0.1053,0.2847,3.4,0.2,0.2,1.4,0.5,0.412,2.500,6.3,11.3,17.3
First Week of December,14,21,34,47,33,48,63,0.3828,0.0928,0.1044,0.1134,0.3066,1.7,0.6,0.7,0.8,2.1,0.471,3.000,5.8,10.8,16.8
Second Week of December,15,17,31,45,27,44,61,0.3828,0.0928,0.1044,0.1134,0.3066,1.7,0.6,0.7,0.8,2.1,0.471,3.000,5.8,10.8,16.8
Third Week of December,16,15,29,43,25,42,59,0.3828,0.0928,0.1044,0.1134,0.3066,1.7,0.6,0.7,0.8,2.1,0.471,3.000,5.8,10.8,16.8
Fourth Week of December,17,14,28,42,24,41,58,0.3828,0.0928,0.1044,0.1134,0.3066,1.7,0.6,0.7,0.8,2.1,0.471,3.000,5.8,10.8,16.8
December/January Transition,18,12,27,42,23,40,57,0.3762,0.0912,0.1026,0.1161,0.3139,1.1,0.4,0.9,0.4,2.4,0.364,2.667,5.9,10.9,16.9
First Week of January,19,12,26,40,23,40,57,0.3762,0.0912,0.1026,0.1161,0.3139,1.1,0.4,0.9,0.4,2.4,0.364,2.667,5.9,10.9,16.9
Second Week of January,20,13,27,41,24,41,58,0.3762,0.0912,0.1026,0.1161,0.3139,1.1,0.4,0.9,0.4,2.4,0.364,2.667,5.9,10.9,16.9
Third Week of January,21,12,27,42,23,41,59,0.3762,0.0912,0.1026,0.1161,0.3139,1.1,0.4,0.9,0.4,2.4,0.364,2.667,5.9,10.9,16.9
January/February Transition,22,12,27,42,24,42,60,0.3564,0.0864,0.0972,0.1242,0.3358,2.4,0.4,0.7,0.9,2.1,0.375,3.000,6.4,11.4,17.4
First Week of February,23,13,28,43,25,43,61,0.3564,0.0864,0.0972,0.1242,0.3358,2.4,0.4,0.7,0.9,2.1,0.375,3.000,6.4,11.4,17.4
Second Week of February,24,14,29,44,27,45,63,0.3564,0.0864,0.0972,0.1242,0.3358,2.4,0.4,0.7,0.9,2.1,0.375,3.000,6.4,11.4,17.4
Third Week of Februrary,25,15,30,45,27,46,65,0.3564,0.0864,0.0972,0.1242,0.3358,2.4,0.4,0.7,0.9,2.1,0.375,3.000,6.4,11.4,17.4