Reference Location:,"St. Louis, MO",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,58,67,76,76,85,94,0.4554,0.1104,0.1242,0.0837,0.2263,9.3,0,0,2.8,0,0.301,0.000,0.8,5.8,10.8
First Week of September,1,56,65,74,75,84,93,0.4554,0.1104,0.1242,0.0837,0.2263,7.8,0,0,3,0,0.385,0.000,1.7,6.7,11.7
Second Week of September,2,53,63,73,72,82,92,0.4554,0.1104,0.1242,0.0837,0.2263,7.8,0,0,3,0,0.385,0.000,1.7,6.7,11.7
Third Week of September,3,50,60,70,68,79,90,0.4554,0.1104,0.1242,0.0837,0.2263,7.8,0,0,3,0,0.385,0.000,1.7,6.7,11.7
Fourth Week of September,4,46,57,68,66,77,88,0.4554,0.1104,0.1242,0.0837,0.2263,7.8,0,0,3,0,0.385,0.000,1.7,6.7,11.7
September/October Transition,5,43,55,67,63,74,85,0.4554,0.1104,0.1242,0.0837,0.2263,7.8,0,0,3,0,0.385,0.000,1.7,6.7,11.7
First Week of October,6,40,52,64,58,71,84,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,2.9,0,0.377,0.000,2.9,7.9,12.9
Second Week of October,7,38,50,62,57,69,81,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,2.9,0,0.377,0.000,2.9,7.9,12.9
Third Week of October,8,36,49,62,53,66,79,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,2.9,0,0.377,0.000,2.9,7.9,12.9
October/November Transition,9,34,47,60,49,63,77,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,2.9,0,0.377,0.000,2.9,7.9,12.9
First Week of November,10,31,44,57,44,59,74,0.3564,0.0864,0.0972,0.1242,0.3358,6.9,0.3,0.1,3.2,0.5,0.464,5.000,3.7,8.7,14.7
Second Week of November,11,29,42,55,41,56,71,0.3564,0.0864,0.0972,0.1242,0.3358,6.9,0.3,0.1,3.2,0.5,0.464,5.000,3.7,8.7,14.7
Third Week of November,12,27,40,53,37,53,69,0.3564,0.0864,0.0972,0.1242,0.3358,6.9,0.3,0.1,3.2,0.5,0.464,5.000,3.7,8.7,14.7
Fourth Week of November,13,25,38,51,34,50,66,0.3564,0.0864,0.0972,0.1242,0.3358,6.9,0.3,0.1,3.2,0.5,0.464,5.000,3.7,8.7,14.7
First Week of December,14,23,36,49,32,47,62,0.3168,0.0768,0.0864,0.1404,0.3796,5.2,0.9,0.6,2.4,2.1,0.462,3.500,3.9,8.9,14.9
Second Week of December,15,18,34,50,26,43,60,0.3168,0.0768,0.0864,0.1404,0.3796,5.2,0.9,0.6,2.4,2.1,0.462,3.500,3.9,8.9,14.9
Third Week of December,16,16,32,48,24,41,58,0.3168,0.0768,0.0864,0.1404,0.3796,5.2,0.9,0.6,2.4,2.1,0.462,3.500,3.9,8.9,14.9
Fourth Week of December,17,14,30,46,22,39,56,0.3168,0.0768,0.0864,0.1404,0.3796,5.2,0.9,0.6,2.4,2.1,0.462,3.500,3.9,8.9,14.9
December/January Transition,18,12,29,46,21,38,55,0.3168,0.0768,0.0864,0.1404,0.3796,3.3,0.9,1,1.6,3.2,0.485,3.200,4.4,9.4,15.4
First Week of January,19,12,28,44,19,37,55,0.3168,0.0768,0.0864,0.1404,0.3796,3.3,0.9,1,1.6,3.2,0.485,3.200,4.4,9.4,15.4
Second Week of January,20,12,28,44,19,37,55,0.3168,0.0768,0.0864,0.1404,0.3796,3.3,0.9,1,1.6,3.2,0.485,3.200,4.4,9.4,15.4
Third Week of January,21,11,28,45,21,38,55,0.3168,0.0768,0.0864,0.1404,0.3796,3.3,0.9,1,1.6,3.2,0.485,3.200,4.4,9.4,15.4
January/February Transition,22,11,27,43,20,38,56,0.3102,0.0752,0.0846,0.1431,0.3869,3.7,0.5,0.9,1.7,2.8,0.459,3.111,4.5,9.5,15.5
First Week of February,23,11,28,45,21,39,57,0.3102,0.0752,0.0846,0.1431,0.3869,3.7,0.5,0.9,1.7,2.8,0.459,3.111,4.5,9.5,15.5
Second Week of February,24,13,29,45,22,41,60,0.3102,0.0752,0.0846,0.1431,0.3869,3.7,0.5,0.9,1.7,2.8,0.459,3.111,4.5,9.5,15.5
Third Week of Februrary,25,15,30,45,25,43,61,0.3102,0.0752,0.0846,0.1431,0.3869,3.7,0.5,0.9,1.7,2.8,0.459,3.111,4.5,9.5,15.5