Reference Location:,"Raleigh, NC",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,60,68,76,78,85,92,0.36,0.11,0.12,0.15,0.26,12.1,0,0,4.1,0,0.339,0.000,0.5,4.8,9.8
First Week of September,1,60,67,74,75,83,91,0.37,0.11,0.12,0.15,0.25,8.9,0,0,4,0,0.449,0.000,0.5,5.4,10.4
Second Week of September,2,59,65,71,73,81,89,0.38,0.11,0.12,0.15,0.24,8.9,0,0,4,0,0.449,0.000,0.5,5.4,10.4
Third Week of September,3,57,64,71,73,80,87,0.4,0.11,0.12,0.15,0.22,8.9,0,0,4,0,0.449,0.000,0.5,5.4,10.4
Fourth Week of September,4,53,60,67,70,78,86,0.42,0.11,0.12,0.15,0.2,8.9,0,0,4,0,0.449,0.000,0.5,5.4,10.4
September/October Transition,5,48,57,66,67,76,85,0.43,0.11,0.12,0.15,0.19,6.9,0,0,3.1,0,0.449,0.000,0.8,5.8,10.8
First Week of October,6,46,56,66,66,75,84,0.45,0.11,0.12,0.15,0.17,6.9,0,0,3.1,0,0.449,0.000,0.8,5.8,10.8
Second Week of October,7,44,54,64,65,74,83,0.46,0.11,0.12,0.15,0.16,6.9,0,0,3.1,0,0.449,0.000,0.8,5.8,10.8
Third Week of October,8,41,51,61,64,72,80,0.44,0.11,0.12,0.15,0.18,6.9,0,0,3.1,0,0.449,0.000,0.8,5.8,10.8
October/November Transition,9,38,49,60,60,69,78,0.44,0.11,0.12,0.15,0.18,6.9,0,0,3.1,0,0.449,0.000,0.8,5.8,10.8
First Week of November,10,35,47,59,60,68,76,0.43,0.11,0.12,0.15,0.19,6.3,0,0,2.7,0,0.429,0.000,1.2,6.2,11.2
Second Week of November,11,33,45,57,56,65,74,0.42,0.11,0.12,0.15,0.2,6.3,0.1,0,2.7,0,0.429,0.000,1.2,6.2,11.2
Third Week of November,12,31,43,55,52,62,72,0.42,0.11,0.12,0.15,0.2,6.3,0.1,0,2.7,0,0.429,0.000,1.2,6.2,11.2
Fourth Week of November,13,29,40,51,47,59,71,0.4,0.11,0.12,0.15,0.22,6.3,0.1,0,2.7,0,0.429,0.000,1.2,6.2,11.2
First Week of December,14,27,38,49,46,58,70,0.38,0.11,0.12,0.15,0.24,7.1,0.4,0.2,2.8,0.2,0.394,1.000,0.5,6.4,12.4
Second Week of December,15,25,37,49,43,56,69,0.37,0.11,0.12,0.15,0.25,7.1,0.4,0.2,2.8,0.2,0.394,1.000,0.5,6.4,12.4
Third Week of December,16,23,35,47,40,54,68,0.35,0.11,0.12,0.15,0.27,7.1,0.4,0.2,2.8,0.2,0.394,1.000,0.5,6.4,12.4
Fourth Week of December,17,22,33,44,37,52,67,0.33,0.11,0.12,0.15,0.29,7.1,0.4,0.2,2.8,0.2,0.394,1.000,0.5,6.4,12.4
December/January Transition,18,21,32,43,37,52,67,0.34,0.11,0.12,0.15,0.28,7,0.9,0.4,2.8,2.5,0.400,6.250,0.7,6.7,12.7
First Week of January,19,21,32,43,36,51,66,0.35,0.11,0.12,0.15,0.27,7,0.9,0.4,2.8,2.5,0.400,6.250,0.7,6.7,12.7
Second Week of January,20,21,32,43,36,51,66,0.36,0.11,0.12,0.15,0.26,7,0.9,0.4,2.8,2.5,0.400,6.250,0.7,6.7,12.7
Third Week of January,21,20,32,44,38,52,66,0.37,0.11,0.12,0.15,0.25,7,0.9,0.4,2.8,2.5,0.400,6.250,0.7,6.7,12.7
January/February Transition,22,21,33,45,38,53,68,0.37,0.11,0.12,0.15,0.25,6.5,0.8,0.3,2.9,2.7,0.446,9.000,1.1,7.1,13.1
First Week of February,23,24,34,44,41,55,69,0.37,0.11,0.12,0.15,0.25,6.5,0.8,0.3,2.9,2.7,0.446,9.000,1.1,7.1,13.1
Second Week of February,24,26,36,46,42,56,70,0.37,0.11,0.12,0.15,0.25,6.5,0.8,0.3,2.9,2.7,0.446,9.000,1.1,7.1,13.1
Third Week of Februrary,25,28,38,48,44,57,70,0.37,0.11,0.12,0.15,0.25,6.5,0.8,0.3,2.9,2.7,0.446,9.000,1.1,7.1,13.1