Reference Location:,"Trenton, NJ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,57,65,73,73,81,89,0.4158,0.1008,0.1134,0.0999,0.2701,9.8,0,0,3.6,0,0.367,0.000,0.5,5.5,10.5
First Week of September,1,55,64,73,72,80,88,0.4158,0.1008,0.1134,0.0999,0.2701,8,0,0,3.5,0,0.438,0.000,1.1,6.1,11.1
Second Week of September,2,52,62,72,69,78,87,0.4158,0.1008,0.1134,0.0999,0.2701,8,0,0,3.5,0,0.438,0.000,1.1,6.1,11.1
Third Week of September,3,50,60,70,67,76,85,0.4158,0.1008,0.1134,0.0999,0.2701,8,0,0,3.5,0,0.438,0.000,1.1,6.1,11.1
Fourth Week of September,4,47,58,69,63,73,83,0.4158,0.1008,0.1134,0.0999,0.2701,8,0,0,3.5,0,0.438,0.000,1.1,6.1,11.1
September/October Transition,5,44,55,66,61,71,81,0.4158,0.1008,0.1134,0.0999,0.2701,8,0,0,3.5,0,0.438,0.000,1.1,6.1,11.1
First Week of October,6,41,53,65,58,68,78,0.4092,0.0992,0.1116,0.1026,0.2774,7.4,0,0,3.4,0,0.459,0.000,2,7,12
Second Week of October,7,39,50,61,54,65,76,0.4092,0.0992,0.1116,0.1026,0.2774,7.4,0,0,3.4,0,0.459,0.000,2,7,12
Third Week of October,8,37,48,59,52,63,74,0.4092,0.0992,0.1116,0.1026,0.2774,7.4,0,0,3.4,0,0.459,0.000,2,7,12
October/November Transition,9,35,46,57,48,60,72,0.4092,0.0992,0.1116,0.1026,0.2774,7.4,0,0,3.4,0,0.459,0.000,2,7,12
First Week of November,10,33,44,55,47,58,69,0.363,0.088,0.099,0.1215,0.3285,7.2,0.2,0.1,3.3,0.6,0.458,6.000,2.6,7.6,13.6
Second Week of November,11,30,42,54,43,55,67,0.363,0.088,0.099,0.1215,0.3285,7.2,0.2,0.1,3.3,0.6,0.458,6.000,2.6,7.6,13.6
Third Week of November,12,29,41,53,41,53,65,0.363,0.088,0.099,0.1215,0.3285,7.2,0.2,0.1,3.3,0.6,0.458,6.000,2.6,7.6,13.6
Fourth Week of November,13,27,39,51,37,50,63,0.363,0.088,0.099,0.1215,0.3285,7.2,0.2,0.1,3.3,0.6,0.458,6.000,2.6,7.6,13.6
First Week of December,14,25,37,49,34,47,60,0.3234,0.0784,0.0882,0.1377,0.3723,6.2,1.1,0.6,3.2,3.2,0.516,5.333,3,8,14
Second Week of December,15,22,35,48,32,45,58,0.3234,0.0784,0.0882,0.1377,0.3723,6.2,1.1,0.6,3.2,3.2,0.516,5.333,3,8,14
Third Week of December,16,20,34,48,30,43,56,0.3234,0.0784,0.0882,0.1377,0.3723,6.2,1.1,0.6,3.2,3.2,0.516,5.333,3,8,14
Fourth Week of December,17,19,32,45,27,41,55,0.3234,0.0784,0.0882,0.1377,0.3723,6.2,1.1,0.6,3.2,3.2,0.516,5.333,3,8,14
December/January Transition,18,17,31,45,27,40,53,0.3102,0.0752,0.0846,0.1431,0.3869,4.3,1.6,1.1,2.3,6,0.535,5.455,3.5,8.5,14.5
First Week of January,19,15,30,45,25,39,53,0.3102,0.0752,0.0846,0.1431,0.3869,4.3,1.6,1.1,2.3,6,0.535,5.455,3.5,8.5,14.5
Second Week of January,20,14,29,44,24,38,52,0.3102,0.0752,0.0846,0.1431,0.3869,4.3,1.6,1.1,2.3,6,0.535,5.455,3.5,8.5,14.5
Third Week of January,21,13,28,43,24,38,52,0.3102,0.0752,0.0846,0.1431,0.3869,4.3,1.6,1.1,2.3,6,0.535,5.455,3.5,8.5,14.5
January/February Transition,22,13,27,41,23,37,51,0.3168,0.0768,0.0864,0.1404,0.3796,4.3,1.4,0.9,2.2,6.1,0.512,6.778,3.8,8.8,14.8
First Week of February,23,14,27,40,25,38,51,0.3168,0.0768,0.0864,0.1404,0.3796,4.3,1.4,0.9,2.2,6.1,0.512,6.778,3.8,8.8,14.8
Second Week of February,24,16,29,42,27,40,53,0.3168,0.0768,0.0864,0.1404,0.3796,4.3,1.4,0.9,2.2,6.1,0.512,6.778,3.8,8.8,14.8
Third Week of Februrary,25,17,29,41,28,41,54,0.3168,0.0768,0.0864,0.1404,0.3796,4.3,1.4,0.9,2.2,6.1,0.512,6.778,3.8,8.8,14.8