Reference Location:,"Buffalo, NY",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,54,63,72,68,76,84,0.4356,0.1056,0.1188,0.0918,0.2482,10.1,0,0,2.5,0,0.248,0.000,1.1,6.1,11.1
First Week of September,1,52,61,70,65,74,83,0.4158,0.1008,0.1134,0.0999,0.2701,9.9,0,0,2.9,0,0.293,0.000,1.9,6.9,11.9
Second Week of September,2,50,60,70,62,72,82,0.4158,0.1008,0.1134,0.0999,0.2701,9.9,0,0,2.9,0,0.293,0.000,1.9,6.9,11.9
Third Week of September,3,47,58,69,60,70,80,0.4158,0.1008,0.1134,0.0999,0.2701,9.9,0,0,2.9,0,0.293,0.000,1.9,6.9,11.9
Fourth Week of September,4,45,55,65,56,67,78,0.4158,0.1008,0.1134,0.0999,0.2701,9.9,0,0,2.9,0,0.293,0.000,1.9,6.9,11.9
September/October Transition,5,42,53,64,52,64,76,0.4158,0.1008,0.1134,0.0999,0.2701,9.9,0,0,2.9,0,0.293,0.000,1.9,6.9,11.9
First Week of October,6,39,51,63,49,61,73,0.363,0.088,0.099,0.1215,0.3285,10,0,0,2.7,0,0.270,0.000,3.1,8.1,13.1
Second Week of October,7,37,48,59,46,58,70,0.363,0.088,0.099,0.1215,0.3285,10,0,0,2.7,0,0.270,0.000,3.1,8.1,13.1
Third Week of October,8,35,46,57,44,56,68,0.363,0.088,0.099,0.1215,0.3285,10,0,0,2.7,0,0.270,0.000,3.1,8.1,13.1
October/November Transition,9,34,44,54,40,53,66,0.363,0.088,0.099,0.1215,0.3285,10,0,0,2.7,0,0.270,0.000,3.1,8.1,13.1
First Week of November,10,31,42,53,37,50,63,0.2904,0.0704,0.0792,0.1512,0.4088,7.5,0.6,0.5,2.1,1.3,0.280,2.600,4.3,9.3,15.3
Second Week of November,11,29,40,51,33,47,61,0.2904,0.0704,0.0792,0.1512,0.4088,7.5,0.6,0.5,2.1,1.3,0.280,2.600,4.3,9.3,15.3
Third Week of November,12,27,39,51,32,45,58,0.2904,0.0704,0.0792,0.1512,0.4088,7.5,0.6,0.5,2.1,1.3,0.280,2.600,4.3,9.3,15.3
Fourth Week of November,13,24,36,48,29,42,55,0.2904,0.0704,0.0792,0.1512,0.4088,7.5,0.6,0.5,2.1,1.3,0.280,2.600,4.3,9.3,15.3
First Week of December,14,21,34,47,26,39,52,0.2244,0.0544,0.0612,0.1782,0.4818,5,1.2,1.9,1.4,4.1,0.280,2.158,5.6,10.6,16.6
Second Week of December,15,19,32,45,25,37,49,0.2244,0.0544,0.0612,0.1782,0.4818,5,1.2,1.9,1.4,4.1,0.280,2.158,5.6,10.6,16.6
Third Week of December,16,16,30,44,21,34,47,0.2244,0.0544,0.0612,0.1782,0.4818,5,1.2,1.9,1.4,4.1,0.280,2.158,5.6,10.6,16.6
Fourth Week of December,17,14,28,42,19,32,45,0.2244,0.0544,0.0612,0.1782,0.4818,5,1.2,1.9,1.4,4.1,0.280,2.158,5.6,10.6,16.6
December/January Transition,18,12,27,42,18,31,44,0.1914,0.0464,0.0522,0.1917,0.5183,3,1,2.2,0.8,4.7,0.267,2.136,6.7,11.7,17.7
First Week of January,19,10,26,42,16,30,44,0.1914,0.0464,0.0522,0.1917,0.5183,3,1,2.2,0.8,4.7,0.267,2.136,6.7,11.7,17.7
Second Week of January,20,9,24,39,14,28,42,0.1914,0.0464,0.0522,0.1917,0.5183,3,1,2.2,0.8,4.7,0.267,2.136,6.7,11.7,17.7
Third Week of January,21,7,24,41,14,28,42,0.1914,0.0464,0.0522,0.1917,0.5183,3,1,2.2,0.8,4.7,0.267,2.136,6.7,11.7,17.7
January/February Transition,22,7,23,39,14,28,42,0.2178,0.0528,0.0594,0.1809,0.4891,2.6,1,1.7,0.7,5.1,0.269,3.000,6.1,11.1,17.1
First Week of February,23,7,22,37,15,28,41,0.2178,0.0528,0.0594,0.1809,0.4891,2.6,1,1.7,0.7,5.1,0.269,3.000,6.1,11.1,17.1
Second Week of February,24,8,24,40,15,29,43,0.2178,0.0528,0.0594,0.1809,0.4891,2.6,1,1.7,0.7,5.1,0.269,3.000,6.1,11.1,17.1
Third Week of Februrary,25,8,24,40,17,30,43,0.2178,0.0528,0.0594,0.1809,0.4891,2.6,1,1.7,0.7,5.1,0.269,3.000,6.1,11.1,17.1