Reference Location:,"Portland, OR",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,51,57,63,67,79,91,0.5082,0.1232,0.1386,0.0621,0.1679,2.3,0,0,0.5,0,0.217,0.000,0.5,4.3,9.3
First Week of September,1,50,56,62,67,78,89,0.4356,0.1056,0.1188,0.0918,0.2482,5.7,0,0,1.7,0,0.298,0.000,0.5,4.4,9.4
Second Week of September,2,49,55,61,64,76,88,0.4356,0.1056,0.1188,0.0918,0.2482,5.7,0,0,1.7,0,0.298,0.000,0.5,4.4,9.4
Third Week of September,3,47,54,61,61,74,87,0.4356,0.1056,0.1188,0.0918,0.2482,5.7,0,0,1.7,0,0.298,0.000,0.5,4.4,9.4
Fourth Week of September,4,46,52,58,60,72,84,0.4356,0.1056,0.1188,0.0918,0.2482,5.7,0,0,1.7,0,0.298,0.000,0.5,4.4,9.4
September/October Transition,5,44,51,58,57,69,81,0.4356,0.1056,0.1188,0.0918,0.2482,5.7,0,0,1.7,0,0.298,0.000,0.5,4.4,9.4
First Week of October,6,43,50,57,56,67,78,0.297,0.072,0.081,0.1485,0.4015,11.1,0,0,4.5,0,0.405,0.000,0.5,4.9,9.9
Second Week of October,7,41,48,55,55,64,73,0.297,0.072,0.081,0.1485,0.4015,11.1,0,0,4.5,0,0.405,0.000,0.5,4.9,9.9
Third Week of October,8,39,47,55,53,61,69,0.297,0.072,0.081,0.1485,0.4015,11.1,0,0,4.5,0,0.405,0.000,0.5,4.9,9.9
October/November Transition,9,38,46,54,51,58,65,0.297,0.072,0.081,0.1485,0.4015,11.1,0,0,4.5,0,0.405,0.000,0.5,4.9,9.9
First Week of November,10,36,45,54,48,55,62,0.1914,0.0464,0.0522,0.1917,0.5183,16.7,0.2,0.1,8.8,0.4,0.527,4.000,0.5,5.9,11.9
Second Week of November,11,34,44,54,45,52,59,0.1914,0.0464,0.0522,0.1917,0.5183,16.7,0.2,0.1,8.8,0.4,0.527,4.000,0.5,5.9,11.9
Third Week of November,12,33,42,51,43,50,57,0.1914,0.0464,0.0522,0.1917,0.5183,16.7,0.2,0.1,8.8,0.4,0.527,4.000,0.5,5.9,11.9
Fourth Week of November,13,32,41,50,41,48,55,0.1914,0.0464,0.0522,0.1917,0.5183,16.7,0.2,0.1,8.8,0.4,0.527,4.000,0.5,5.9,11.9
First Week of December,14,30,40,50,39,46,53,0.165,0.04,0.045,0.2025,0.5475,15.4,0.7,0.5,8.7,2,0.565,4.000,0.5,6.2,12.2
Second Week of December,15,28,38,48,38,45,52,0.165,0.04,0.045,0.2025,0.5475,15.4,0.7,0.5,8.7,2,0.565,4.000,0.5,6.2,12.2
Third Week of December,16,28,38,48,37,44,51,0.165,0.04,0.045,0.2025,0.5475,15.4,0.7,0.5,8.7,2,0.565,4.000,0.5,6.2,12.2
Fourth Week of December,17,27,37,47,35,43,51,0.165,0.04,0.045,0.2025,0.5475,15.4,0.7,0.5,8.7,2,0.565,4.000,0.5,6.2,12.2
December/January Transition,18,27,37,47,35,43,51,0.165,0.04,0.045,0.2025,0.5475,14.3,0.7,1.2,7.4,2.4,0.517,2.000,0.5,6.1,12.1
First Week of January,19,28,37,46,35,43,51,0.165,0.04,0.045,0.2025,0.5475,14.3,0.7,1.2,7.4,2.4,0.517,2.000,0.5,6.1,12.1
Second Week of January,20,28,38,48,36,44,52,0.165,0.04,0.045,0.2025,0.5475,14.3,0.7,1.2,7.4,2.4,0.517,2.000,0.5,6.1,12.1
Third Week of January,21,28,38,48,38,45,52,0.165,0.04,0.045,0.2025,0.5475,14.3,0.7,1.2,7.4,2.4,0.517,2.000,0.5,6.1,12.1
January/February Transition,22,28,38,48,39,46,53,0.1914,0.0464,0.0522,0.1917,0.5183,12.9,0.4,1,6.6,1.1,0.512,1.100,0.5,5.8,11.8
First Week of February,23,29,38,47,39,47,55,0.1914,0.0464,0.0522,0.1917,0.5183,12.9,0.4,1,6.6,1.1,0.512,1.100,0.5,5.8,11.8
Second Week of February,24,29,38,47,40,48,56,0.1914,0.0464,0.0522,0.1917,0.5183,12.9,0.4,1,6.6,1.1,0.512,1.100,0.5,5.8,11.8
Third Week of Februrary,25,30,39,48,40,49,58,0.1914,0.0464,0.0522,0.1917,0.5183,12.9,0.4,1,6.6,1.1,0.512,1.100,0.5,5.8,11.8