Reference Location:,"Columbia, SC",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,65,71,77,81,88,95,0.3762,0.0912,0.1026,0.1161,0.3139,12.6,0,0,3.9,0,0.310,0.000,0.6,5.6,10.6
First Week of September,1,64,70,76,80,87,94,0.4026,0.0976,0.1098,0.1053,0.2847,8.2,0,0,3.4,0,0.415,0.000,1.3,6.3,11.3
Second Week of September,2,61,69,77,79,86,93,0.4026,0.0976,0.1098,0.1053,0.2847,8.2,0,0,3.4,0,0.415,0.000,1.3,6.3,11.3
Third Week of September,3,58,67,76,76,84,92,0.4026,0.0976,0.1098,0.1053,0.2847,8.2,0,0,3.4,0,0.415,0.000,1.3,6.3,11.3
Fourth Week of September,4,54,64,74,74,82,90,0.4026,0.0976,0.1098,0.1053,0.2847,8.2,0,0,3.4,0,0.415,0.000,1.3,6.3,11.3
September/October Transition,5,50,62,74,72,80,88,0.4026,0.0976,0.1098,0.1053,0.2847,8.2,0,0,3.4,0,0.415,0.000,1.3,6.3,11.3
First Week of October,6,47,59,71,70,78,86,0.4224,0.1024,0.1152,0.0972,0.2628,6.6,0,0,3,0,0.455,0.000,1.6,6.6,11.6
Second Week of October,7,44,57,70,66,75,84,0.4224,0.1024,0.1152,0.0972,0.2628,6.6,0,0,3,0,0.455,0.000,1.6,6.6,11.6
Third Week of October,8,41,54,67,63,73,83,0.4224,0.1024,0.1152,0.0972,0.2628,6.6,0,0,3,0,0.455,0.000,1.6,6.6,11.6
October/November Transition,9,39,52,65,61,71,81,0.4224,0.1024,0.1152,0.0972,0.2628,6.6,0,0,3,0,0.455,0.000,1.6,6.6,11.6
First Week of November,10,36,49,62,58,69,80,0.3894,0.0944,0.1062,0.1107,0.2993,6.1,0,0,2.6,0,0.426,0.000,1.8,6.8,12.8
Second Week of November,11,34,48,62,56,67,78,0.3894,0.0944,0.1062,0.1107,0.2993,6.1,0,0,2.6,0,0.426,0.000,1.8,6.8,12.8
Third Week of November,12,32,46,60,53,65,77,0.3894,0.0944,0.1062,0.1107,0.2993,6.1,0,0,2.6,0,0.426,0.000,1.8,6.8,12.8
Fourth Week of November,13,30,44,58,50,63,76,0.3894,0.0944,0.1062,0.1107,0.2993,6.1,0,0,2.6,0,0.426,0.000,1.8,6.8,12.8
First Week of December,14,29,43,57,48,61,74,0.3432,0.0832,0.0936,0.1296,0.3504,7.2,0.2,0,3.1,0.4,0.431,0.000,1.9,6.9,12.9
Second Week of December,15,28,42,56,45,59,73,0.3432,0.0832,0.0936,0.1296,0.3504,7.2,0.2,0,3.1,0.4,0.431,0.000,1.9,6.9,12.9
Third Week of December,16,27,41,55,42,57,72,0.3432,0.0832,0.0936,0.1296,0.3504,7.2,0.2,0,3.1,0.4,0.431,0.000,1.9,6.9,12.9
Fourth Week of December,17,26,40,54,41,56,71,0.3432,0.0832,0.0936,0.1296,0.3504,7.2,0.2,0,3.1,0.4,0.431,0.000,1.9,6.9,12.9
December/January Transition,18,25,40,55,40,55,70,0.33,0.08,0.09,0.135,0.365,7.5,0.7,0.1,3.3,1.1,0.440,11.000,2.3,7.3,13.3
First Week of January,19,25,39,53,41,55,69,0.33,0.08,0.09,0.135,0.365,7.5,0.7,0.1,3.3,1.1,0.440,11.000,2.3,7.3,13.3
Second Week of January,20,24,39,54,39,54,69,0.33,0.08,0.09,0.135,0.365,7.5,0.7,0.1,3.3,1.1,0.440,11.000,2.3,7.3,13.3
Third Week of January,21,24,38,52,39,54,69,0.33,0.08,0.09,0.135,0.365,7.5,0.7,0.1,3.3,1.1,0.440,11.000,2.3,7.3,13.3
January/February Transition,22,25,38,51,41,55,69,0.33,0.08,0.09,0.135,0.365,7.2,0.4,0.1,3.5,0.8,0.486,8.000,2.6,7.6,13.6
First Week of February,23,25,38,51,40,55,70,0.33,0.08,0.09,0.135,0.365,7.2,0.4,0.1,3.5,0.8,0.486,8.000,2.6,7.6,13.6
Second Week of February,24,27,40,53,43,57,71,0.33,0.08,0.09,0.135,0.365,7.2,0.4,0.1,3.5,0.8,0.486,8.000,2.6,7.6,13.6
Third Week of Februrary,25,28,41,54,44,58,72,0.33,0.08,0.09,0.135,0.365,7.2,0.4,0.1,3.5,0.8,0.486,8.000,2.6,7.6,13.6