Reference Location:,"Sioux Falls, SD",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,50,61,72,69,79,89,0.4686,0.1136,0.1278,0.0783,0.2117,9.1,0,0,2.6,0,0.286,0.000,4.6,9.6,14.6
First Week of September,1,48,59,70,66,77,88,0.4488,0.1088,0.1224,0.0864,0.2336,7.4,0,0,2.5,0,0.338,0.000,5.9,10.9,15.9
Second Week of September,2,45,57,69,63,75,87,0.4488,0.1088,0.1224,0.0864,0.2336,7.4,0,0,2.5,0,0.338,0.000,5.9,10.9,15.9
Third Week of September,3,42,54,66,59,72,85,0.4488,0.1088,0.1224,0.0864,0.2336,7.4,0,0,2.5,0,0.338,0.000,5.9,10.9,15.9
Fourth Week of September,4,38,51,64,55,69,83,0.4488,0.1088,0.1224,0.0864,0.2336,7.4,0,0,2.5,0,0.338,0.000,5.9,10.9,15.9
September/October Transition,5,34,48,62,52,66,80,0.4488,0.1088,0.1224,0.0864,0.2336,7.4,0,0,2.5,0,0.338,0.000,5.9,10.9,15.9
First Week of October,6,32,45,58,49,63,77,0.3894,0.0944,0.1062,0.1107,0.2993,4.6,0.2,0.1,1.6,0.3,0.348,3.000,6.4,11.4,16.4
Second Week of October,7,30,42,54,45,60,75,0.3894,0.0944,0.1062,0.1107,0.2993,4.6,0.2,0.1,1.6,0.3,0.348,3.000,6.4,11.4,16.4
Third Week of October,8,27,39,51,41,56,71,0.3894,0.0944,0.1062,0.1107,0.2993,4.6,0.2,0.1,1.6,0.3,0.348,3.000,6.4,11.4,16.4
October/November Transition,9,25,37,49,38,53,68,0.3894,0.0944,0.1062,0.1107,0.2993,4.6,0.2,0.1,1.6,0.3,0.348,3.000,6.4,11.4,16.4
First Week of November,10,21,34,47,33,49,65,0.3366,0.0816,0.0918,0.1323,0.3577,1.6,0.7,1,0.6,2.6,0.375,2.600,6.5,11.5,17.5
Second Week of November,11,17,31,45,29,45,61,0.3366,0.0816,0.0918,0.1323,0.3577,1.6,0.7,1,0.6,2.6,0.375,2.600,6.5,11.5,17.5
Third Week of November,12,14,28,42,24,41,58,0.3366,0.0816,0.0918,0.1323,0.3577,1.6,0.7,1,0.6,2.6,0.375,2.600,6.5,11.5,17.5
Fourth Week of November,13,10,25,40,19,36,53,0.3366,0.0816,0.0918,0.1323,0.3577,1.6,0.7,1,0.6,2.6,0.375,2.600,6.5,11.5,17.5
First Week of December,14,6,22,38,17,33,49,0.3036,0.0736,0.0828,0.1458,0.3942,0.6,0.3,1.4,0.2,2.8,0.333,2.000,6.5,11.5,17.5
Second Week of December,15,1,19,37,12,29,46,0.3036,0.0736,0.0828,0.1458,0.3942,0.6,0.3,1.4,0.2,2.8,0.333,2.000,6.5,11.5,17.5
Third Week of December,16,-1,17,35,10,27,44,0.3036,0.0736,0.0828,0.1458,0.3942,0.6,0.3,1.4,0.2,2.8,0.333,2.000,6.5,11.5,17.5
Fourth Week of December,17,-4,16,36,8,25,42,0.3036,0.0736,0.0828,0.1458,0.3942,0.6,0.3,1.4,0.2,2.8,0.333,2.000,6.5,11.5,17.5
December/January Transition,18,-6,14,34,7,24,41,0.297,0.072,0.081,0.1485,0.4015,0.3,0.2,1.2,0.1,2,0.333,1.667,6.8,11.8,17.8
First Week of January,19,-7,14,35,6,23,40,0.297,0.072,0.081,0.1485,0.4015,0.3,0.2,1.2,0.1,2,0.333,1.667,6.8,11.8,17.8
Second Week of January,20,-7,14,35,5,23,41,0.297,0.072,0.081,0.1485,0.4015,0.3,0.2,1.2,0.1,2,0.333,1.667,6.8,11.8,17.8
Third Week of January,21,-9,13,35,4,23,42,0.297,0.072,0.081,0.1485,0.4015,0.3,0.2,1.2,0.1,2,0.333,1.667,6.8,11.8,17.8
January/February Transition,22,-8,14,36,4,24,44,0.3036,0.0736,0.0828,0.1458,0.3942,0.4,0.3,1.1,0.2,2.3,0.500,2.091,6.9,11.9,17.9
First Week of February,23,-7,14,35,6,25,44,0.3036,0.0736,0.0828,0.1458,0.3942,0.4,0.3,1.1,0.2,2.3,0.500,2.091,6.9,11.9,17.9
Second Week of February,24,-5,16,37,8,27,46,0.3036,0.0736,0.0828,0.1458,0.3942,0.4,0.3,1.1,0.2,2.3,0.500,2.091,6.9,11.9,17.9
Third Week of Februrary,25,-3,17,37,11,29,47,0.3036,0.0736,0.0828,0.1458,0.3942,0.4,0.3,1.1,0.2,2.3,0.500,2.091,6.9,11.9,17.9